vstup1-s0.txt 2 	0.054s
vstup1-s1.txt 3 	0.050s
vstup1-s2.txt 4 	0.051s
vstup1-s3.txt 4 	0.052s
vstup1-s4.txt 5 	0.053s
vstup1-s5.txt 6 	0.056s
vstup1-s6.txt 7 	0.058s
vstup1-s7.txt 7 	0.060s
vstup1-s8.txt 8 	0.063s
vstup1-s9.txt 7 	0.088s
vstup1-000.txt 10 	0.094s
vstup1-001.txt 10 	0.116s
vstup1-002.txt 11 	0.090s
vstup1-003.txt 10 	0.088s
vstup1-004.txt 9 	0.090s
vstup1-005.txt 10 	0.100s
vstup1-006.txt 11 	0.090s
vstup1-007.txt 10 	0.099s
vstup1-008.txt 9 	0.090s
vstup1-009.txt 11 	0.087s
vstup1-010.txt 12 	0.141s
vstup1-011.txt 11 	0.117s
vstup1-012.txt 11 	0.159s
vstup1-013.txt 12 	0.134s
vstup1-014.txt 13 	0.139s
vstup1-015.txt 10 	0.119s
vstup1-016.txt 11 	0.126s
vstup1-017.txt 12 	0.149s
vstup1-018.txt 12 	0.158s
vstup1-019.txt 12 	0.149s
vstup1-020.txt 14 	0.239s
vstup1-021.txt 15 	0.244s
vstup1-022.txt 14 	0.312s
vstup1-023.txt 14 	0.278s
vstup1-024.txt 12 	0.208s
vstup1-025.txt 14 	0.231s
vstup1-026.txt 15 	0.216s
vstup1-027.txt 14 	0.431s
vstup1-028.txt 14 	6.583s
vstup1-029.txt 14 	0.222s
vstup1-030.txt 13 	0.359s
vstup1-031.txt 15 	0.265s
vstup1-032.txt 14 	0.289s
vstup1-033.txt 13 	0.538s
vstup1-034.txt 14 	0.337s
vstup1-035.txt 13 	0.248s
vstup1-036.txt 11 	0.307s
vstup1-037.txt 14 	0.399s
vstup1-038.txt 12 	0.313s
vstup1-039.txt 16 	0.295s
vstup1-040.txt 13 	0.375s
vstup1-041.txt 15 	0.487s
vstup1-042.txt 15 	0.359s
vstup1-043.txt 14 	0.359s
vstup1-044.txt 15 	0.393s
vstup1-045.txt 16 	0.367s
vstup1-046.txt 18 	0.438s
vstup1-047.txt 18 	0.478s
vstup1-048.txt 16 	0.434s
vstup1-049.txt 15 	0.419s
vstup1-050.txt 15 	0.676s
vstup1-051.txt 16 	0.465s
vstup1-052.txt 16 	0.479s
vstup1-053.txt 16 	1.293s
vstup1-054.txt 17 	0.657s
vstup1-055.txt 20 	0.775s
vstup1-056.txt 14 	0.891s
vstup1-057.txt 19 	0.589s
vstup1-058.txt 17 	0.608s
vstup1-059.txt 20 	0.709s
vstup1-060.txt 20 	0.906s
vstup1-061.txt 17 	0.817s
vstup1-062.txt 17 	0.838s
vstup1-063.txt 18 	1.000s
vstup1-064.txt 16 	0.615s
vstup1-065.txt 20 	1.618s
vstup1-066.txt 19 	1.188s
vstup1-067.txt 22 	1.705s
vstup1-068.txt 17 	0.718s
vstup1-069.txt 17 	0.806s
vstup1-070.txt 20 	310.383s
vstup1-071.txt 22 	1.110s
vstup1-072.txt 21 	1.201s
vstup1-073.txt 20 	1.371s
vstup1-074.txt 20 	1.171s
vstup1-075.txt 20 	1.320s
vstup1-076.txt 21 	1.425s
vstup1-077.txt 16 	0.846s
vstup1-078.txt 22 	1.624s
vstup1-079.txt 18 	0.935s
vstup1-080.txt 19 	1.245s
vstup1-081.txt 19 	1.415s
vstup1-082.txt 17 	1.305s
vstup1-083.txt 17 	1.124s
vstup1-084.txt 15 	1.357s
vstup1-085.txt 22 	1.517s
vstup1-086.txt 16 	10.922s
vstup1-087.txt 23 	1.763s
vstup1-088.txt 15 	1.236s
vstup1-089.txt 20 	1.340s
vstup1-090.txt 15 	1.182s
vstup1-091.txt 18 	1.691s
vstup1-092.txt 19 	3.046s
vstup1-093.txt 17 	1.774s
vstup1-094.txt 19 	1.660s
vstup1-095.txt 22 	1.759s
vstup1-096.txt 19 	1.653s
vstup1-097.txt 16 	1.086s
vstup1-098.txt 19 	1.308s
vstup1-099.txt 23 	1.982s
vstup1-100.txt 22 	2.229s
vstup1-101.txt 15 	1.779s
vstup1-102.txt 16 	1.346s
vstup1-103.txt 18 	1.901s
vstup1-104.txt 18 	2.003s
vstup1-105.txt 21 	1.989s
vstup1-106.txt 15 	1.422s
vstup1-107.txt 21 	5.331s
vstup1-108.txt 20 	1.863s
vstup1-109.txt 19 	1.986s
vstup1-110.txt 20 	2.418s
vstup1-111.txt 24 	4.217s
vstup1-112.txt 19 	2.391s
vstup1-113.txt 26 	177.781s
vstup1-114.txt 23 	2.817s
vstup1-115.txt 22 	3.427s
vstup1-116.txt 23 	2.519s
vstup1-117.txt 28 	3.844s
vstup1-118.txt 24 	2.894s
vstup1-119.txt 20 	2.800s
vstup1-120.txt 25 	4.708s
vstup1-121.txt 22 	2.956s
vstup1-122.txt 22 	3.504s
vstup1-123.txt 23 	3.345s
vstup1-124.txt 24 	3.642s
vstup1-125.txt 24 	4.283s
vstup1-126.txt 30 	4.088s
vstup1-127.txt 24 	6.679s
vstup1-128.txt 23 	3.450s
vstup1-129.txt 27 	4.466s
vstup1-130.txt 27 	5.054s
vstup1-131.txt 23 	2.897s
vstup1-132.txt 23 	7.623s
vstup1-133.txt 25 	4.327s
vstup1-134.txt 24 	3.829s
vstup1-135.txt 32 	6.049s
vstup1-136.txt 26 	3.522s
vstup1-137.txt 21 	3.844s
vstup1-138.txt 26 	5.604s
vstup1-139.txt 27 	4.618s
