Day,total_cases
1.3.2020,3
2.3.2020,3
3.3.2020,5
4.3.2020,8
5.3.2020,12
6.3.2020,18
7.3.2020,19
8.3.2020,31
9.3.2020,31
10.3.2020,41
11.3.2020,91
12.3.2020,94
13.3.2020,141
14.3.2020,189
15.3.2020,253
16.3.2020,298
17.3.2020,396
18.3.2020,464
19.3.2020,694
20.3.2020,833
21.3.2020,995
22.3.2020,1120
23.3.2020,1236
24.3.2020,1394
25.3.2020,1654
26.3.2020,1925
27.3.2020,2279
28.3.2020,2631
29.3.2020,2817
30.3.2020,3001
31.3.2020,3308
1.4.2020,3508
2.4.2020,3858
3.4.2020,4091
4.4.2020,4472
5.4.2020,4587
6.4.2020,4822
7.4.2020,5017
8.4.2020,5312
9.4.2020,5569
10.4.2020,5732
11.4.2020,5831
12.4.2020,5991
13.4.2020,6059
14.4.2020,6111
15.4.2020,6216
16.4.2020,6433
17.4.2020,6549
18.4.2020,6606
19.4.2020,6746
20.4.2020,6900
21.4.2020,7033
22.4.2020,7132
23.4.2020,7187
24.4.2020,7273
25.4.2020,7352
26.4.2020,7404
27.4.2020,7445
28.4.2020,7504
29.4.2020,7579
30.4.2020,7682
1.5.2020,7737
2.5.2020,7755
3.5.2020,7781
4.5.2020,7819
5.5.2020,7896
6.5.2020,7974
7.5.2020,8031
8.5.2020,8077
9.5.2020,8095
10.5.2020,8123
11.5.2020,8176
12.5.2020,8221
13.5.2020,8269
14.5.2020,8351
15.5.2020,8406
16.5.2020,8455
17.5.2020,8475
18.5.2020,8586
19.5.2020,8647
20.5.2020,8721
21.5.2020,8754
22.5.2020,8813
23.5.2020,8890
24.5.2020,8955
25.5.2020,9002
26.5.2020,9050
27.5.2020,9086
28.5.2020,9140
29.5.2020,9196
30.5.2020,9230
31.5.2020,9268
1.6.2020,9302
2.6.2020,9364
3.6.2020,9438
4.6.2020,9494
5.6.2020,9529
6.6.2020,9567
7.6.2020,9628
8.6.2020,9697
9.6.2020,9751
10.6.2020,9824
11.6.2020,9855
12.6.2020,9938
13.6.2020,9991
14.6.2020,10024
15.6.2020,10064
16.6.2020,10111
17.6.2020,10162
18.6.2020,10280
19.6.2020,10406
20.6.2020,10448
21.6.2020,10498
22.6.2020,10523
23.6.2020,10650
24.6.2020,10777
25.6.2020,10870
26.6.2020,11038
27.6.2020,11298
28.6.2020,11603
29.6.2020,11805
30.6.2020,11954
1.7.2020,12046
2.7.2020,12178
3.7.2020,12319
4.7.2020,12440
5.7.2020,12515
6.7.2020,12566
7.7.2020,12685
8.7.2020,12814
9.7.2020,12919
10.7.2020,13001
11.7.2020,13115
12.7.2020,13174
13.7.2020,13238
14.7.2020,13341
15.7.2020,13475
16.7.2020,13612
17.7.2020,13742
18.7.2020,13855
19.7.2020,13945
20.7.2020,14098
21.7.2020,14324
22.7.2020,14570
23.7.2020,14800
24.7.2020,15081
25.7.2020,15212
26.7.2020,15324
27.7.2020,15516
28.7.2020,15799
29.7.2020,16093
30.7.2020,16371
31.7.2020,16574
1.8.2020,16699
2.8.2020,16800
3.8.2020,17008
4.8.2020,17286
5.8.2020,17529
6.8.2020,17731
7.8.2020,18060
8.8.2020,18235
9.8.2020,18353
10.8.2020,18494
11.8.2020,18783
12.8.2020,19075
13.8.2020,19401
14.8.2020,19693
15.8.2020,19891
16.8.2020,20012
17.8.2020,20202
18.8.2020,20483
19.8.2020,20798
20.8.2020,21045
21.8.2020,21551
22.8.2020,21790
23.8.2020,21923
24.8.2020,22181
25.8.2020,22548
26.8.2020,22951
27.8.2020,23169
28.8.2020,23777
29.8.2020,24094
30.8.2020,24367
31.8.2020,24618
1.9.2020,25117
2.9.2020,25773
3.9.2020,26452
4.9.2020,27249
5.9.2020,27752
6.9.2020,28156
7.9.2020,28716
8.9.2020,29877
9.9.2020,31036
10.9.2020,32413
11.9.2020,33860
12.9.2020,35401
13.9.2020,36188
14.9.2020,37222
15.9.2020,38896
16.9.2020,41032
17.9.2020,44155
18.9.2020,46262
19.9.2020,48306
20.9.2020,49290
21.9.2020,50764
22.9.2020,53158
23.9.2020,55464
24.9.2020,58374
25.9.2020,61318
26.9.2020,63294
27.9.2020,64597
28.9.2020,65883
29.9.2020,67843
30.9.2020,70763
1.10.2020,74255
2.10.2020,78051
3.10.2020,80605
4.10.2020,82446
5.10.2020,85566
6.10.2020,90022
7.10.2020,95360
8.10.2020,100757
9.10.2020,109374
10.10.2020,114005
11.10.2020,117110
12.10.2020,121421
13.10.2020,129747
14.10.2020,139290
15.10.2020,149010
16.10.2020,160112
17.10.2020,168827
18.10.2020,173885
19.10.2020,181962
20.10.2020,193946
21.10.2020,208915
22.10.2020,223065
23.10.2020,238323
24.10.2020,250797
25.10.2020,258097
26.10.2020,268370
27.10.2020,284033
28.10.2020,297013
29.10.2020,310068
30.10.2020,323673
31.10.2020,335102
1.11.2020,341644
2.11.2020,350896
3.11.2020,362985
4.11.2020,378716
5.11.2020,391945
6.11.2020,403497
7.11.2020,411220
8.11.2020,414828
9.11.2020,417181
10.11.2020,429880
11.11.2020,438805
12.11.2020,446675
13.11.2020,454030
14.11.2020,458229
15.11.2020,460116
16.11.2020,465523
17.11.2020,469769
18.11.2020,475284
19.11.2020,481755
20.11.2020,487563
21.11.2020,490750
22.11.2020,492263
23.11.2020,496638
24.11.2020,502534
25.11.2020,505215
26.11.2020,511520
27.11.2020,515984
28.11.2020,518649
29.11.2020,519723
30.11.2020,523298
1.12.2020,528474
2.12.2020,533042
3.12.2020,537663
4.12.2020,542406
5.12.2020,544179
6.12.2020,546833
7.12.2020,546833
8.12.2020,551070
9.12.2020,556927
10.12.2020,563333
11.12.2020,569205
12.12.2020,575422
13.12.2020,579079
14.12.2020,581079
15.12.2020,586251
16.12.2020,594148
17.12.2020,602404
18.12.2020,610006
19.12.2020,618836
20.12.2020,624140
21.12.2020,627523
22.12.2020,635414
23.12.2020,646312
24.12.2020,660461
25.12.2020,664863
26.12.2020,667569
27.12.2020,670599
28.12.2020,674340
29.12.2020,685202
30.12.2020,701622
31.12.2020,718661
1.1.2021,732022
2.1.2021,735469
3.1.2021,740481
4.1.2021,746714
5.1.2021,759635
6.1.2021,776967
7.1.2021,794740
8.1.2021,809601
9.1.2021,822716
10.1.2021,831165
11.1.2021,835454
12.1.2021,844799
13.1.2021,855600
14.1.2021,866522
15.1.2021,874605
16.1.2021,883906
17.1.2021,889159
18.1.2021,891852
19.1.2021,899503
20.1.2021,909131
21.1.2021,917359
22.1.2021,924847
23.1.2021,933361
24.1.2021,937617
25.1.2021,940004
26.1.2021,946946
27.1.2021,956155
28.1.2021,964660
29.1.2021,972642
30.1.2021,980714
31.1.2021,984774
1.2.2021,987329
2.2.2021,994514
3.2.2021,1003657
4.2.2021,1013352
